Title,Authors,Contributors,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Star Rating,Review,Tags,Owned?
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,,digital,read,2024/10/30,2024-10-30,2024/09/20-2024/10/30,1,0.0,,,No
Dark Matter,Blake Crouch,,digital,read,2023/05/13,2023-12-30,2023/12/30,1,4.0,,,No
Where the Crawdads Sing,Delia Owens,Cassandra Campbell (Narrator),audio,read,2023/12/06,2024-01-30,2024/01/30,1,5.0,,,No
The Shining,Stephen King,,paperback,read,2023/11/12,2023-12-27,2023/12/27,1,5.0,,,No
Stillhouse Lake,Rachel Caine,,digital,read,2017/11/07,2023-06-25,2023/06/25,1,4.0,,,No
"Sky is Falling, the",Sidney Sheldon,,paperback,read,2017/06/18,2017-06-19,2017/06/19,1,4.0,,,No
The Poppy War,R.F. Kuang,,digital,to-read,2025/01/08,,,0,,,,No
Project Hail Mary,Andy Weir,,digital,read,2023/11/10,2024-02-24,2024/02/24,1,5.0,,favorites,No
WINDMILLS OF THE GODS,Sidney Sheldon,,paperback,read,2017/06/20,,,1,4.0,,,No
The Goldfinch,Donna Tartt,,digital,read,2023/11/10,2024-01-08,2024/01/08,1,3.0,"I tried to enjoy this book, but I couldn't. The unnecessary, lengthy descriptive narrations made the reading experience quite boring. I found myself skipping through sections in the hopes that, at some point, I would start liking this book and understand why readers loved it, but that never happened. Overall, the plot was good, but the book could have been a few hundred pages shorter.",,No
The Girls in the Snow,Stacy Green,,digital,read,2023/06/28,2023-07-01,2023/07/01,1,4.0,,,No
The Housemaid,Freida McFadden,,digital,read,2023/04/10,2023-04-11,2023/04/11,1,4.0,,,No
The Spanish Love Deception,Elena Armas,,digital,read,2023/10/24,2023-11-08,2023/11/08,1,4.0,,,No
The Way of Kings,Brandon Sanderson,,hardcover,to-read,2025/03/06,,,0,,,,No
Gone Girl,Gillian Flynn,,paperback,read,2017/04/05,,,1,4.0,,,No
The Silkworm,Robert Galbraith,,digital,read,2017/05/12,2018-02-10,2018/02/10,1,4.0,,,No
Hidden Away,Maya Banks,,digital,read,2024/12/30,2025-01-08,2024/12/29-2025/01/08,1,2.5,,,No
The Butterfly Garden,Dot Hutchison,,digital,read,2023/05/19,2023-05-26,2023/05/26,1,3.0,,,No
Sharp Objects,Gillian Flynn,,paperback,to-read,2025/03/06,,,0,,,,No
The Disappearances,Emily Bain Murphy,,digital,read,2017/08/13,2018-07-02,2018/07/02,1,3.0,,,No
Leaving Time,Jodi Picoult,,digital,read,2017/07/16,2017-07-17,2017/07/17,1,5.0,,,No
The Surgeon,Leslie Wolfe,,digital,read,2023/10/16,2023-10-19,2023/10/19,1,4.0,,,No
As Good As Dead,Holly Jackson,"Clare Corbett (Narrator), Kristin Atherton (Narrator), Luke Poli (Narrator), Jot Davies (Narrator), Maryam Grace (Narrator)",audio,read,2024/08/22,2024-12-31,2024/07/28-2024/12/31,1,4.0,,,No
No Place to Run,Maya Banks,,digital,read,2024/12/30,2024-11-20,2024/11/12-2024/11/20,1,3.0,,,No
How to Fail at Flirting,Denise Williams,,digital,read,2025/02/22,2025-02-27,2025/02/20-2025/02/27,1,3.5,,,No
The Darkest Hour,Maya Banks,,digital,read,2024/12/30,2024-11-10,2024/11/02-2024/11/10,1,3.5,,,No
Private Property,Skye Warren,,digital,read,2024/11/19,2024-12-01,2024/11/11-2024/12/01,1,2.0,,,No
The Dressmaker's Gift,Fiona Valpy,,digital,read,2021/01/25,2023-05-14,2023/05/14,1,4.0,,,No
The Night She Disappeared,Lisa Jewell,Joanne Froggatt (Narrator),audio,currently-reading,2025/01/16,,,0,,,,No
The Maid's Diary,Loreth Anne White,,digital,read,2023/10/16,2023-10-16,2023/10/16,1,5.0,,,No
Vera Wong's Unsolicited Advice for Murderers,Jesse Q. Sutanto,,digital,read,2023/07/18,2024-07-25,2024/07/25,1,4.0,,,No
The Girl Who Played with Fire,Stieg Larsson,Reg Keeland (Translator),digital,read,2017/06/01,,,2,5.0,,,No
Troubled Blood,Robert Galbraith,,digital,read,2021/01/25,2024-01-20,2024/01/20,1,5.0,,,No
The Perfect Marriage,Jeneva Rose,,digital,read,2023/05/15,2023-05-17,2023/05/17,1,3.0,,,No
Love on the Brain,Ali Hazelwood,,digital,read,2024/02/24,2024-02-27,2024/02/27,1,4.0,,,No
Onyx Storm,Rebecca Yarros,,hardcover,to-read,2025/02/20,,,0,,,,No
1984,George Orwell,,digital,read,2023/07/06,2023-08-30,2023/08/30,1,4.0,,,No
The Frozen River,Ariel Lawhon,,digital,read,2024/06/15,2024-07-01,2024/07/01,1,5.0,,,No
The Heaven & Earth Grocery Store,James McBride,,hardcover,to-read,2025/03/05,,,0,,,,No
The Girl with the Dragon Tattoo,Stieg Larsson,Reg Keeland (Translator),digital,read,2017/06/01,2017-07-24,2017/07/24,1,5.0,,favorites,No
The God of the Woods,Liz Moore,,digital,currently-reading,2025/02/22,,,0,,,,No
Part of Your World,Abby Jimenez,,digital,read,2023/12/30,2024-01-29,2024/01/29,1,4.0,,,No
